Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category,id,likes
Prospect Heights,40.676822262254724,-73.9648592426269,Mexicocina Agaveria,40.676865,-73.963817,Mexican Restaurant,5c942e786eda02002cb33180,4
Maspeth,40.725427374093606,-73.89621713626859,Yeun Wah Takeout,40.72224004055848,-73.89270794268955,Chinese Restaurant,4d586ba98147f04db338a254,0
St. Albans,40.69444538522359,-73.75867603727717,Yardies Jerk,40.69403801708779,-73.75354575423022,Caribbean Restaurant,56c3aeaecd10ecc799b5aa13,10
Kingsbridge,40.88168737120521,-73.90281798724604,Papa John's Pizza,40.87846686452555,-73.90299731682387,Pizza Place,5aa003f5b6eedb52c65bddb8,0
Manhattan Valley,40.797307041702865,-73.96428617740655,Osteria 106,40.79882481969301,-73.96179298262278,Italian Restaurant,5962a53dc824ae6362e9e625,39
West Village,40.73443393572434,-74.00617998126812,The Little Owl,40.73244092098896,-74.0054235934664,American Restaurant,45379ccef964a520c13b1fe3,608
Melrose,40.819754370594936,-73.90942160757436,Bravo Supermarkets,40.81780882,-73.90552901,Grocery Store,4df9fe50d22d964c6b9b9034,0
Eltingville,40.542230747450745,-74.1643308041936,Campania Coal Fired Pizza,40.54320615990769,-74.16403266834551,Pizza Place,541b5438498ef6d4a62798c8,34
Fordham,40.86099679638654,-73.89642655981623,Krispy Kreme,40.8620491027832,-73.89225006103516,Donut Shop,5dc9d8ae1cd5cb00089ea812,2
Noho,40.72325901885768,-73.98843368023597,Equinox Orchard Street,40.72237017311023,-73.98793738659782,Gym,59cd5e7ee96d0c7515ce6d4f,43
Mount Hope,40.84884160724665,-73.90829930881988,SUBWAY,40.849245,-73.904839,Sandwich Place,4d728428946b6dcbec4e3d7a,1
Longwood,40.81509904545822,-73.8957882009446,Real Azteca Restaurant,40.81525226803688,-73.89402465895539,Mexican Restaurant,4d32397eb60937040dbcf4df,1
Hamilton Heights,40.823604284811935,-73.94968791883366,Sweet Chef Southern Style Bakery,40.824053,-73.94935500000001,Bakery,4b0ea09ef964a520145923e3,9
Windsor Terrace,40.65694583575104,-73.98007340430172,Windsor Wines,40.66018312350765,-73.98056670020625,Wine Shop,4a47a8b1f964a520e7a91fe3,28
Great Kills,40.549480228713605,-74.14932381490992,Benvenuti Pizzeria e Trattoria,40.5512054717975,-74.15017511029485,Italian Restaurant,4cb8efaa90c9a143a5e183d6,3
Upper East Side,40.775638573301805,-73.96050763135,Antonucci,40.77571064654,-73.95660701282836,Italian Restaurant,4b3bedfaf964a5209e7e25e3,42
Tudor City,40.746917410740195,-73.97121928722265,251 Ginza Sushi,40.74556726462068,-73.9757060569526,Sushi Restaurant,4bba3cf87421a593728fc340,30
Morningside Heights,40.807999738165826,-73.96389627905332,Häagen-Dazs,40.80629288415964,-73.96513742981416,Ice Cream Shop,4a63840bf964a5203ac51fe3,21
Astoria Heights,40.7703173929982,-73.89467996270574,Raimonda Park,40.772609764669276,-73.897280680728,Playground,5249f58b498e965773873731,4
Great Kills,40.549480228713605,-74.14932381490992,Nonna's,40.551088916834885,-74.15111674680456,Pizza Place,4bf0737d6f8aa593b8e8c13c,9
Washington Heights,40.85190252555305,-73.93690027985234,Le Chéile,40.85145903601843,-73.93998920917511,Café,4e77e40118387f865961f673,215
Morningside Heights,40.807999738165826,-73.96389627905332,Riverside Park,40.806809433439135,-73.96865129470825,Park,4a06ff94f964a52017731fe3,305
Bensonhurst,40.61100890202044,-73.99517998380729,Dunkin',40.61257462702729,-74.00052567768839,Donut Shop,5312041b498e71482cf63798,4
Queensboro Hill,40.7445723092867,-73.82580915110559,Ace  Bagel & Rolls,40.74367020856401,-73.82580623846098,Bagel Shop,4bee8784d355a593bef60a60,5
Claremont Village,40.83142834161548,-73.90119903387667,CTown Supermarkets,40.83490102679978,-73.90339051062654,Grocery Store,515c8e9ab0b968b3c850eb01,0
Georgetown,40.62384524478419,-73.91607483951324,TD Bank,40.62702604819837,-73.91748346768964,Bank,51b4c234498ecfb072ab5a6b,8
Civic Center,40.71522892046282,-74.00541529873355,Takahachi Bakery,40.713652845301894,-74.0088038953017,Bakery,4c154c9a77cea593c401d260,251
Homecrest,40.598525095137255,-73.95918459428702,El Mexicano Restaurante & Cafe Inc,40.5985425547682,-73.95635259929597,Mexican Restaurant,507e08fae4b0998ce3421276,15
Washington Heights,40.85190252555305,-73.93690027985234,AT&T,40.84949305694621,-73.93456041812897,Mobile Phone Shop,4e2c467d227197a112e202a3,6
Woodrow,40.541967622888755,-74.20524582480326,Islander Taste I,40.54272652878382,-74.20758604813165,Chinese Restaurant,4d8bc294bb88f04d0f659e3a,4
Manor Heights,40.60180957631444,-74.12059399718001,Walgreens,40.603559,-74.1202424,Pharmacy,4b772201f964a520a1802ee3,17
Williamsburg,40.70714439344251,-73.95811529220927,Blink Fitness,40.70874086716891,-73.95832431779098,Gym,579baeff498e21290f2705c9,48
Woodrow,40.541967622888755,-74.20524582480326,Chase Bank,40.54213524886132,-74.20720884611241,Bank,5bcdf643c824ae002cba4f3e,1
Noho,40.72325901885768,-73.98843368023597,El Diablito Taqueria,40.725228897078274,-73.98904211451524,Mexican Restaurant,518ae551498e2f46f121c613,141
Manhattanville,40.8169344294978,-73.9573853935188,Sushi Sushi,40.81855014925793,-73.95273086623575,Sushi Restaurant,51573e61e4b06ee00f00307b,32
Howard Beach,40.65422527738487,-73.8381376460028,Duane Reade,40.65161178362227,-73.83862609457287,Pharmacy,4bc8755292b376b0c765513a,2
Borough Park,40.633130512758015,-73.99049823044811,Capital One Bank,40.636571,-73.990898,Bank,4c73c5e50e23b1f70a3121dc,1
Howard Beach,40.65422527738487,-73.8381376460028,Prima Pasta & Cafe,40.65438500803745,-73.83909340122082,Italian Restaurant,4bafdb5df964a52086263ce3,36
Morningside Heights,40.807999738165826,-73.96389627905332,Samad's Gourmet,40.805138975346054,-73.96602347805818,Deli / Bodega,4ad72296f964a520cc0821e3,11
Lighthouse Hill,40.57650629379489,-74.13792663771568,Moonstruck Cafe,40.573073,-74.136913,Café,50b7cd06e4b0dd3bd93d0eb7,2
Chinatown,40.71561842231432,-73.99427936255978,Regina's Grocery,40.71545271972335,-73.99162066038105,Sandwich Place,59318ce1c5b11c6c16c15d29,34
Bedford Park,40.870185164975325,-73.8855121841913,Frank's Deli & Grocery,40.866269,-73.88581500000001,Deli / Bodega,5729282f498e40e19d17c220,1
Mount Eden,40.84382617671654,-73.91655551964419,Luigi's Pizza,40.84357833862305,-73.91240692138672,Pizza Place,4dd299f9d22d67839c5f6af0,4
Castleton Corners,40.61333593766742,-74.11918058534842,Joe & Pat Pizzeria and Restaurant,40.61304647514354,-74.12212777422766,Pizza Place,4af63dc0f964a5208c0222e3,31
Morningside Heights,40.807999738165826,-73.96389627905332,Nous Espresso Bar -  Graduate Student Center,40.807532679241426,-73.96087936080511,Café,534560c6498e7e382358a4ec,58
Chinatown,40.71561842231432,-73.99427936255978,Scarr's Pizza,40.715335008813696,-73.99164900167455,Pizza Place,56c3c626cd106998d2b196d0,97
Bedford Park,40.870185164975325,-73.8855121841913,Confectionaires Bakery,40.867506,-73.883297,Bakery,5b745f30872f7d0039d741ce,2
Middle Village,40.716414511158185,-73.88114319200604,SUBWAY,40.71251252721162,-73.87938571508111,Sandwich Place,4bc63c3651b376b095391b6f,1
Howard Beach,40.65422527738487,-73.8381376460028,Empire Buffet,40.65448296385855,-73.83834313171272,Chinese Restaurant,4ba57b0af964a5205f0b39e3,19
Prospect Lefferts Gardens,40.658420017469815,-73.95489867077713,Errol's Caribbean Bakery,40.657159556586244,-73.9602038138049,Caribbean Restaurant,4c79b5f683a7bfb7527f7ff8,11
Rosebank,40.61530494652761,-74.06980526716141,Subway,40.61523061069549,-74.06649905010045,Sandwich Place,4c8592d351ada1cd6f4d3910,5
Bensonhurst,40.61100890202044,-73.99517998380729,Baskin-Robbins,40.61509744375493,-73.99395033291107,Ice Cream Shop,4d6025391ee8721e6f36a721,0
Marine Park,40.609747779894604,-73.93134404108497,new grand wok,40.609311,-73.931668,Chinese Restaurant,4c5075d73940be9ae2124a07,0
Fordham,40.86099679638654,-73.89642655981623,Fordham Restaurant,40.86273352895031,-73.89677774336448,Diner,4b954545f964a5203c9934e3,12
Mount Eden,40.84382617671654,-73.91655551964419,Rite Aid,40.83971,-73.916967,Pharmacy,4d2ce8e0fd2e236a24c9ebde,0
New Dorp,40.57257231820632,-74.1164794360638,La Strada,40.573742673776685,-74.11562734222126,Italian Restaurant,4b343839f964a5203a2625e3,24
Chinatown,40.71561842231432,-73.99427936255978,Xi'an Famous Foods,40.715231941715004,-73.99726288220869,Chinese Restaurant,5894c9a15e56b417cf79e553,41
Concourse,40.83428380733851,-73.91558941773444,CVS pharmacy,40.83530662693773,-73.92072176482903,Pharmacy,55f6ce59498e2feb32cb7da3,6
Eltingville,40.542230747450745,-74.1643308041936,Rite Aid,40.544619,-74.160625,Pharmacy,4c518e29d2a7c9b6fdb16311,4
Prospect Lefferts Gardens,40.658420017469815,-73.95489867077713,STREETSWEEPER,40.657185999999996,-73.95342600000001,Pizza Place,5792c068498eaba98510a712,8
Longwood,40.81509904545822,-73.8957882009446,CTown Supermarkets,40.81696566873799,-73.89580383896828,Grocery Store,50426887e4b00fd08f1b8266,5
Gramercy,40.737209832715,-73.98137594833541,Maialino,40.7384419150589,-73.98561005041564,Italian Restaurant,4afb2990f964a520a91b22e3,1449
Riverdale,40.890834493891305,-73.9125854610857,MTA BX7 238th Stop,40.88903574764659,-73.9080494858546,Bus Station,4debf073ae60e98923802c89,0
Hamilton Heights,40.823604284811935,-73.94968791883366,Riverside Park 138th St Entrance,40.82306337331719,-73.9549277650913,Park,4da7589a1e72d9bb472dcc0f,27
Clason Point,40.80655112003589,-73.85414416189266,Shop Smart Food Mart Soundview Ave,40.80947620728788,-73.85456705405758,Grocery Store,4da84054fa8c4175d0b46750,1
Ditmas Park,40.643675183340974,-73.96101312466779,Dunkin',40.64661490960654,-73.95834277809286,Donut Shop,5161661ce4b0531a2ab8ab7c,12
Arverne,40.58914394372971,-73.79199233136943,Cuisine By Claudette,40.590558,-73.79735,Café,5d739b3c87f7b800083a111f,2
Gramercy,40.737209832715,-73.98137594833541,Frank's Trattoria,40.7360311287152,-73.97915989751004,Pizza Place,4b4bca62f964a520cba726e3,35
New Dorp,40.57257231820632,-74.1164794360638,Pronto Pizza,40.57132503373072,-74.11114965254167,Pizza Place,4b5f2ff9f964a520e1ab29e3,6
Civic Center,40.71522892046282,-74.00541529873355,Hungry Ghost,40.71537908911408,-74.00747585756598,Coffee Shop,5c7d2d843d4791002c881f1c,30
Belmont,40.85727710073895,-73.88845196134804,Michaelangelo's Coal Fired Brick Oven Pizza Restaurant,40.85741189614754,-73.88646821282298,Italian Restaurant,4af71916f964a520cf0522e3,39
Tudor City,40.746917410740195,-73.97121928722265,Montagu's Gusto,40.74555834476401,-73.97522572857501,American Restaurant,5a022e729411f217c431e972,18
Manhattanville,40.8169344294978,-73.9573853935188,Dear Mama Coffee,40.817333,-73.959494,Coffee Shop,5b0345aa9ba3e5002c6bfeb8,8
Morningside Heights,40.807999738165826,-73.96389627905332,Westside Market,40.8042546041038,-73.96659969137721,Grocery Store,4a78f566f964a520b2e61fe3,247
New Dorp,40.57257231820632,-74.1164794360638,SUBWAY,40.57382855300669,-74.11582156739867,Sandwich Place,4bfab28a5efe2d7fbcfc6d34,0
Morningside Heights,40.807999738165826,-73.96389627905332,Morningside Park,40.806144282339694,-73.95879685878754,Park,49d91905f964a520005e1fe3,99
Bensonhurst,40.61100890202044,-73.99517998380729,A+ noodle House,40.61515426635742,-73.99459838867188,Chinese Restaurant,4be5aed3d4f7c9b692be2520,1
Bushwick,40.69811611017901,-73.92525797487045,Fine Time,40.70076533597775,-73.9299159564469,Bar,5977d8ff1f74400a806b493d,37
Red Hook,40.676253230250886,-74.0127589747356,Sunny's,40.67563606268985,-74.01680340973766,Bar,41b3a100f964a520751e1fe3,171
Parkchester,40.837937822267286,-73.85600310535783,Blink Fitness,40.83532458554998,-73.86074223576577,Gym,503568d0e4b02de9367f934e,12
Bedford Park,40.870185164975325,-73.8855121841913,CTown Supermarkets,40.87393696550383,-73.88391345396735,Grocery Store,4c4644e9cd5ca593af610087,6
East Village,40.727846777270244,-73.98222616506416,Miss Lily's 7A,40.72605803974587,-73.98368581540872,Caribbean Restaurant,537822d3498edcf629cebd3d,570
Belmont,40.85727710073895,-73.88845196134804,Mike's Deli,40.85413107559137,-73.8881359312148,Deli / Bodega,4ace366bf964a5201bcf20e3,18
Williamsburg,40.70714439344251,-73.95811529220927,Gottlieb's Restaurant,40.70764197787768,-73.96123691979123,Diner,45f91993f964a52041441fe3,23
Concourse,40.83428380733851,-73.91558941773444,Bravo Supermarkets,40.83830937058824,-73.91322795759584,Grocery Store,4d2e3077e04354813b5baeed,2
Prospect Lefferts Gardens,40.658420017469815,-73.95489867077713,Papa John's Pizza,40.65706260104479,-73.95291108629641,Pizza Place,4b64e55af964a52031d82ae3,1
Parkchester,40.837937822267286,-73.85600310535783,Bangla Town Supermarket,40.83636616,-73.85288427,Grocery Store,4cbdf93a7148f04dde14f0ab,0
Bedford Stuyvesant,40.687231607720456,-73.94178488690297,Brown Butter,40.68336497667256,-73.94387876229449,Café,599321fcd4cc9849c017f19c,13
Gravesend,40.59526001306593,-73.97347087708445,Rite Aid,40.59675624624044,-73.97545660425911,Pharmacy,4d911aa3033ba35d7447690d,4
Fordham,40.86099679638654,-73.89642655981623,Primavera Cafe,40.86200374119285,-73.89153741654775,Café,51bb492d498e4a3ea2ebf17d,26
Concourse,40.83428380733851,-73.91558941773444,Domino's Pizza,40.83587284041261,-73.92099072040764,Pizza Place,4d41f0caaed776ebb2a86997,0
Rugby,40.655572313280764,-73.92688212616955,Capital One Bank,40.6517957,-73.9291506,Bank,4d34f189c6cba35de647387a,5
Edgewater Park,40.821986118163494,-73.81388514428619,Tosca Café,40.819204436132736,-73.81746681637895,Bar,4b4b9f1df964a5201fa226e3,167
Pomonok,40.73493618075478,-73.80486120040537,Napoli's Pizzeria,40.732991722442435,-73.80481538456173,Pizza Place,4b8775dff964a520e0bf31e3,24
Rugby,40.655572313280764,-73.92688212616955,Chase Bank,40.65209727901707,-73.92973837990282,Bank,4fb533867beb65c72e11e4a2,3
Longwood,40.81509904545822,-73.8957882009446,Playground 52,40.815538402610144,-73.9013147428721,Playground,4d7fdb529df3f04db6ffdd94,1
New Dorp,40.57257231820632,-74.1164794360638,Nori,40.57373691295499,-74.11752277814138,Sushi Restaurant,4b89bfbff964a5205e4d32e3,9
Laurelton,40.66788389660247,-73.74025607989822,Henrica's Restaurant And Lounge,40.666813,-73.73652,Caribbean Restaurant,4fde48afe4b0b4dd29a80328,20
Bedford Park,40.870185164975325,-73.8855121841913,Jolly Tinker,40.86745127461597,-73.88353583600046,Italian Restaurant,4b1712a8f964a520dbc123e3,19
Woodrow,40.541967622888755,-74.20524582480326,Orangetheory Fitness,40.5421456,-74.2074313,Gym,5cab75d91ffed700398ce038,0
Edgemere,40.595641807368494,-73.77613282391705,Papa John's Pizza,40.595157339170434,-73.78016923615274,Pizza Place,5461633e498ef9c2cef5879d,0
Gramercy,40.737209832715,-73.98137594833541,Taqueria Gramercy,40.736217818653216,-73.98501093953391,Mexican Restaurant,5b6e2e356adbf5002c7bc64c,47
Fordham,40.86099679638654,-73.89642655981623,Dunkin',40.861298,-73.898337,Donut Shop,4e38a2cfbd415d9f63d71132,1
Georgetown,40.62384524478419,-73.91607483951324,Subways,40.62653322690518,-73.9167245022349,Sandwich Place,52ab957b11d2430ab2440c3b,1
Noho,40.72325901885768,-73.98843368023597,Urban Wines NYC,40.724277609066995,-73.98763034113799,Wine Shop,531b61be498e6f4ddf0d8435,47
New Dorp,40.57257231820632,-74.1164794360638,Piece A Cake,40.57330904848907,-74.11506337218066,Bakery,4f1ee4b5e4b01dbd1eef8d79,58
Borough Park,40.633130512758015,-73.99049823044811,Duane Reade,40.63184735626117,-73.98488938808447,Pharmacy,4cac93b08f029eb0e885548f,0
Rochdale,40.67521139591733,-73.77258787620906,Variety Drugs,40.6735554939805,-73.77071962981137,Pharmacy,4d24f3ff903c8cfa4fb1c925,1
Claremont Village,40.83142834161548,-73.90119903387667,"Jennie's Baked 4 U, Inc",40.833077056134584,-73.90564957854761,Bakery,55d775d6498e9bca2c3e1505,2
Manhattan Valley,40.797307041702865,-73.96428617740655,Gourmet Deli,40.79920173065755,-73.96291174986665,Deli / Bodega,4a7e59fdf964a520ccf11fe3,6
Morningside Heights,40.807999738165826,-73.96389627905332,The Hungarian Pastry Shop,40.803561933892944,-73.96347501357707,Coffee Shop,40f32600f964a520720a1fe3,506
Upper East Side,40.775638573301805,-73.96050763135,Eli's Night Shift,40.77434551192844,-73.95751164710708,Bar,564bc0e5498ebbcbab5b0d7b,46
Prospect Lefferts Gardens,40.658420017469815,-73.95489867077713,Camillo,40.65962621054929,-73.95056843938069,Italian Restaurant,59bfcdfb2079551e2b628d20,54
Marble Hill,40.87655077879964,-73.91065965862981,Subway,40.8746665302951,-73.9095858429637,Sandwich Place,4b4f7b65f964a5205a0827e3,1
Hudson Yards,40.75665808227519,-74.00011136202637,Van Leeuwen Ice Cream,40.753366,-74.001127,Ice Cream Shop,5c8bea5bf193c0002c295f52,16
Rego Park,40.72897409480735,-73.8578268690537,Avellino Ristorante & Pizzeria,40.72976798666398,-73.86045074006529,Italian Restaurant,4c50f9ae9d642d7f357fc6dc,28
Marble Hill,40.87655077879964,-73.91065965862981,Starbucks,40.87753134921497,-73.90558216359267,Coffee Shop,55f81cd2498ee903149fcc64,24
Gravesend,40.59526001306593,-73.97347087708445,Dunkin',40.5967856544418,-73.97668602729746,Donut Shop,4bca3b143740b71329646065,15
Ditmas Park,40.643675183340974,-73.96101312466779,T-Mobile,40.645215798571435,-73.95830727648905,Mobile Phone Shop,519e3af5498ec0e0ee15e993,1
Rosebank,40.61530494652761,-74.06980526716141,Dunkin',40.61534353215069,-74.06657233185527,Donut Shop,4b926617f964a520c6f633e3,14
Williamsburg,40.70714439344251,-73.95811529220927,Konditori,40.708614,-73.957906,Coffee Shop,5d8663bddfbfcc0007278c66,0
Bushwick,40.69811611017901,-73.92525797487045,The Wheelhouse,40.69999698442769,-73.92440070116781,Sandwich Place,534d916e498e45d9c44e6d0a,132
Maspeth,40.725427374093606,-73.89621713626859,Chase Bank,40.724055349110444,-73.898403042477,Bank,4c5960e64ed9ef3b97b8d96d,2
Gramercy,40.737209832715,-73.98137594833541,Citizens of Gramercy,40.73663660003647,-73.98176174141058,Coffee Shop,5b44c582d8096e002ccd329a,42
Grasmere,40.59826835959991,-74.0766743627905,Carvel Ice Cream,40.5986992497231,-74.07961729631474,Ice Cream Shop,4ccddf5bc0378cfa73459048,13
Bedford Park,40.870185164975325,-73.8855121841913,Bedford Cafe Restaurant,40.87341387211989,-73.88919548256142,Diner,4baedf9ff964a520c0de3be3,37
Maspeth,40.725427374093606,-73.89621713626859,Fame Diner,40.72720304445241,-73.89334857203721,Diner,4b76ddd8f964a52075652ee3,43
Howard Beach,40.65422527738487,-73.8381376460028,Roma View Catering,40.657220178842806,-73.83909163427153,Italian Restaurant,4ba148f5f964a5201da937e3,18
Howard Beach,40.65422527738487,-73.8381376460028,Mmm That's A Wrap,40.65219634769242,-73.83855358292841,Sandwich Place,4bbdff59593fef3b5e200456,4
Arverne,40.58914394372971,-73.79199233136943,Dunkin',40.5906565,-73.7972393,Donut Shop,511a95cee4b0392b2a272df7,28
Midtown,40.75469110270623,-73.98166882730304,Park Italian Gourmet,40.75667784618427,-73.98194763998217,Deli / Bodega,4afc4d5ef964a520532122e3,61
Maspeth,40.725427374093606,-73.89621713626859,Verizon Wireless,40.72683772953261,-73.89387927068252,Mobile Phone Shop,4e0ba1bf7d8b2313a124c4c1,0
Rochdale,40.67521139591733,-73.77258787620906,"MTA Q111, Q113, QM21 (Guy Brewer Blvd/137 Ave)",40.672047721002464,-73.7745460063883,Bus Station,4d38951f0a288cfa78bb813c,0
Prospect Heights,40.676822262254724,-73.9648592426269,Nacho Macho Taco,40.676486203952564,-73.96277461950449,Mexican Restaurant,54d407db498eca36438fc5d3,45
Parkchester,40.837937822267286,-73.85600310535783,Golden Krust Caribbean Restaurant,40.83617444841861,-73.86101282187846,Caribbean Restaurant,4b919003f964a520d4c533e3,11
Georgetown,40.62384524478419,-73.91607483951324,Chipotle Mexican Grill,40.62640516930416,-73.91697560324246,Mexican Restaurant,5c26849c64c8e1003979056d,2
Concourse Village,40.824780490842905,-73.91584652759009,Pepe Joes,40.82083770984901,-73.91752251542624,Pizza Place,4c938c5103413704998a69ef,4
Chinatown,40.71561842231432,-73.99427936255978,Sam's Fried Ice Cream,40.715814082261154,-73.99145645060749,Ice Cream Shop,58f25962c5b11c7b5a2192de,33
Bedford Stuyvesant,40.687231607720456,-73.94178488690297,Bar Camillo,40.686523,-73.944379,Italian Restaurant,5e4567fa2eafa100085e9ec3,8
Manhattan Beach,40.57791350308657,-73.94353722891886,Panini Tozt Cafe,40.578679,-73.938244,Café,527a868011d2f9c72b55a453,4
Homecrest,40.598525095137255,-73.95918459428702,Season Restaurant,40.598781014171685,-73.9574614351032,Chinese Restaurant,514645bae4b0238f38bcdbac,9
Windsor Terrace,40.65694583575104,-73.98007340430172,Terrace Coffee Shop,40.65458880590596,-73.97920811893258,Diner,4cfc0ea52d80a1436b0c4fd8,22
Great Kills,40.549480228713605,-74.14932381490992,Talk Of the Town,40.551301496762385,-74.15053003112754,Bar,4c6b533ba48420a1cbfd090b,4
Rego Park,40.72897409480735,-73.8578268690537,Subway,40.72997254620758,-73.8629303994278,Sandwich Place,4cd98dea1647a0939d9be74c,8
Borough Park,40.633130512758015,-73.99049823044811,Deli 52,40.633637,-73.99397900000001,Deli / Bodega,4bf0946b21072d7f032b208b,5
Marble Hill,40.87655077879964,-73.91065965862981,TD Bank,40.8794958,-73.9092856,Bank,4ec68016cc21b428e1d2060a,4
Howard Beach,40.65422527738487,-73.8381376460028,Cross Bay Diner,40.656601500221555,-73.83896451505065,Diner,4c13b49f7f7f2d7f747edf68,88
Middle Village,40.716414511158185,-73.88114319200604,Carlo's Pizzeria,40.712853,-73.878169,Pizza Place,4b16fb1bf964a52077c023e3,28
Bushwick,40.69811611017901,-73.92525797487045,Knickerbocker Bagel,40.70055126991167,-73.9213918240281,Bagel Shop,594a997fd48ec17dba25d273,64
Homecrest,40.598525095137255,-73.95918459428702,Wing Hing Seafood Restaurant,40.59850944116727,-73.95957022162729,Chinese Restaurant,4d28b924ebacb1f72efbf34f,25
Manhattanville,40.8169344294978,-73.9573853935188,Bettolona,40.81408384945623,-73.95957422392542,Italian Restaurant,4c956003f7cfa1cd2e2ebd15,90
Queensboro Hill,40.7445723092867,-73.82580915110559,MTA - Q44/Q20 Bus Stop,40.741620079738446,-73.82520122661553,Bus Station,4cbedb7a575d236a182dbb8e,0
Washington Heights,40.85190252555305,-73.93690027985234,Baskin-Robbins,40.85044405488296,-73.9373276411219,Ice Cream Shop,4f997b58d4f21823bb1f5394,2
Tudor City,40.746917410740195,-73.97121928722265,Tudor City Park South,40.74876578594654,-73.97077529524509,Park,4bed4f58e3562d7f8fc9fef8,38
Manhattan Valley,40.797307041702865,-73.96428617740655,Freda's Caribbean & Soul Cuisine,40.801077183209756,-73.96155227099436,Caribbean Restaurant,4bb2a2af4019a593ea2437b8,56
Bayswater,40.611321691283834,-73.76596781445627,Westbourne Playground,40.60844517667005,-73.76448006599405,Playground,4dcdba448877851243e6347f,2
Fordham,40.86099679638654,-73.89642655981623,Chase Bank,40.86211163974708,-73.89808841049671,Bank,4c08eddf6071a59316f4dc32,2
Morris Park,40.847549063536334,-73.85040178030421,24 Hour Store,40.850322,-73.851568,Deli / Bodega,4bba8c6f935e95215a522890,1
Middle Village,40.716414511158185,-73.88114319200604,Juniper Valley Park Playground South,40.7185041980999,-73.88265227890128,Playground,4bb65aab2ea195215a8aab2f,17
Clason Point,40.80655112003589,-73.85414416189266,Harding Park/Water Front,40.805825750551904,-73.85786298398283,Park,4d86466a5ad3a093e9f8f5fd,3
Randall Manor,40.63563000681151,-74.09805062373887,Goodhue Park,40.63535248790654,-74.09310579299927,Park,4d9b9567e115721e5e353b0b,2
Claremont Village,40.83142834161548,-73.90119903387667,Food Bazaar Supermarket,40.8352354547571,-73.90226074832353,Grocery Store,4bed7ff2e3562d7fe716fff8,8
Greenridge,40.555295236173194,-74.17079414786092,Dazzle Gourmet Bagels,40.55846,-74.168944,Bagel Shop,4ccd8e35ba0a548164024459,2
Gramercy,40.737209832715,-73.98137594833541,Think Coffee,40.738156312933405,-73.98374210961263,Coffee Shop,580226bb38fae0dde3f6bd9a,132
Grasmere,40.59826835959991,-74.0766743627905,Delfini,40.59885,-74.079235,Grocery Store,4c753aab3adda14370a906af,0
